embedding,k,silhouette_cosine,davies_bouldin
template_10k,10,0.08876305818557739,3.760708935105684
template_10k,20,0.08633150905370712,3.5702321838296434
template_10k,30,0.09383515268564224,3.531058214824305
template_10k,50,0.09360572695732117,3.449507143781994
template_jina-embeddings-v5-text-small,10,0.10156720876693726,3.318020820136018
template_jina-embeddings-v5-text-small,20,0.09880322217941284,3.30942156401906
template_jina-embeddings-v5-text-small,30,0.11339771747589111,3.4262073372121535
template_jina-embeddings-v5-text-small,50,0.12592025101184845,3.309183914903415
title,10,0.07856830209493637,3.7001065932868107
title,20,0.07829499244689941,3.6141616862332446
title,30,0.09472880512475967,3.5878616462041553
title,50,0.09550029039382935,3.6058284179609252
title_jina-embeddings-v5-text-small,10,0.09329038113355637,3.3729002437287816
title_jina-embeddings-v5-text-small,20,0.11147627234458923,3.220563815195714
title_jina-embeddings-v5-text-small,30,0.12209440767765045,3.1513781906916787
title_jina-embeddings-v5-text-small,50,0.11575734615325928,3.083831588114039
